Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bhutan,BTN,4.907582989,5.023286176,5.14444706,5.272007363,5.406951608,5.549087173,5.699398583,5.861524303,6.04006592,6.237977013,6.456199302,6.692892152,6.944438499,7.205808702,7.472679408,7.74483659,8.021766582,8.298503949,8.569184342,8.829933866,9.072341245,9.29702716,9.519701218,9.762536652,10.03809687,10.36215568,10.72174304,11.06666952,11.32812533,11.46127175,11.44357169,11.30246345,11.10474499,12.84879397,12.78635678,12.87379397,13.08836683,13.40467337,13.77856784,14.17555276,14.59256281,15.03570352,15.48929648,16.63916363,17.08326993,17.49665504,17.87840071,18.23307186,18.56992943,18.89566335,19.21048351,19.51126794,19.79791169,20.06999502,20.32767532
Botswana,BWA,0.946793005,0.970462125,0.995740476,1.022638646,1.051190161,1.081555591,1.113891977,1.148218728,1.184523494,1.222841565,1.263054717,1.305302349,1.350161453,1.398396062,1.4504773,1.506643375,1.566518448,1.62917968,1.69333898,1.75803469,1.822866268,1.887957228,1.953492845,2.01986131,2.087311418,2.155643781,2.224551374,2.294032432,2.364111658,2.43469377,2.505775237,2.576981984,2.647391174,2.715817056,2.78137914,2.84408272,2.904109541,2.961041413,3.014430152,3.064208706,3.110001235,3.152598239,3.194533552,3.239196796,3.289049459,3.34492792,3.406262241,3.472316623,3.541742982,3.613415559,3.68730436,3.763382916,3.840470771,3.917098089,3.992174404
Central African Republic,CAF,2.45469999,2.498725481,2.545450897,2.594810427,2.646682076,2.701329096,2.758608623,2.817522232,2.876737616,2.935423288,2.993285499,3.05098398,3.10986388,3.171800058,3.238272497,3.309178465,3.384405599,3.465350413,3.553706379,3.650349931,3.756555588,3.871220585,3.989961154,4.106764262,4.21750939,4.320061639,4.416133744,4.510128736,4.608502681,4.715772577,4.833140711,4.958651963,5.089807056,5.22279688,5.35465023,5.485188931,5.614803043,5.741802305,5.864249254,5.981007416,6.091169861,6.195678834,6.297624322,6.401322675,6.510013163,6.624790523,6.745166779,6.870854602,7.001014479,7.135017176,7.272950978,7.415165816,7.561523644,7.711830235,7.865860862
Canada,CAN,2.009235158,2.046954366,2.085443355,2.125141997,2.163960891,2.20464925,2.244677798,2.281187352,2.312418417,2.344969104,2.380327838,2.418607446,2.459931094,2.504433052,2.552259798,2.586240077,2.61681133,2.643203779,2.669706197,2.704456255,2.738216596,2.771427095,2.799359103,2.826411364,2.852803813,2.88161557,2.919664684,2.95760383,3.010828602,3.05613564,3.097998683,3.136258386,3.170767943,3.201393741,3.228016464,3.262975463,3.297648543,3.326317341,3.353952434,3.383698924,3.418031101,3.448833289,3.48336341,3.518443373,3.5533034,3.581730817,3.61663736,3.655989052,3.698084788,3.739510266,3.776625307,3.821569009,3.865998828,3.908684105,3.942567172
Central Europe and the Baltics,CEB,83.39808822,84.10284765,84.85333226,85.6461614,86.30198849,86.93712499,87.74712961,88.50638192,89.1571845,89.63827236,90.09633914,90.75155527,91.43598519,92.18263955,93.01112291,93.83353769,94.57342034,95.21908716,95.78451458,96.36417852,96.92848914,97.4563986,97.96016281,98.43608398,98.89466878,99.33492973,99.74144214,100.0967005,100.2885341,100.2381914,99.81613867,99.55837804,99.62790359,99.56738427,99.47293467,99.14709933,99.05746485,98.83040753,98.72591642,98.1102272,97.57265489,97.10159109,96.81076902,96.54426446,96.30747966,96.07862545,95.63968051,95.29846047,95.03029304,94.68209293,94.34498842,94.14499199,93.94333711,93.7462842,93.58546852
Switzerland,CHE,137.4796094,141.0092846,144.0560362,146.4589152,148.1600891,149.7167071,151.583308,153.5041996,155.241525,156.3670563,157.1898148,158.3929367,159.5665604,160.4281775,160.3580247,159.4440397,158.9044222,158.9186905,159.238135,159.8716859,160.7486845,161.690675,162.3854736,162.9655443,163.6865339,164.5405652,165.577323,166.7987047,168.1527992,169.888411,172.0250449,173.9321511,175.5234132,176.9282046,178.1144729,178.9073568,179.3433855,179.8816222,180.7461354,181.7693047,182.9277636,184.3214665,185.6987677,186.9844383,188.1956324,189.385176,191.0901154,193.5336319,195.9669754,198.0187519,200.2327665,202.3702045,204.7106489,207.2236309,209.7119142
Channel Islands,CHI,569.0670103,574.5515464,580.3865979,586.4845361,592.742268,599.1030928,605.5412371,611.9896907,618.4072165,624.7216495,630.9948454,637.1701031,642.9278351,647.8350515,651.6340206,654.1546392,655.6185567,656.6701031,658.2164948,660.8917526,664.8865979,670.0154639,676.0721649,682.7371134,689.7113402,697.0463918,704.7216495,712.2989691,719.2164948,725.0979381,729.7319588,733.2886598,736.1958763,739.1134021,742.5257732,746.556701,751.0773196,756.0257732,761.2474227,766.6237113,772.1494845,777.8608247,783.6804124,789.5360825,795.3505155,801.1082474,806.7835052,812.3041237,817.5927835,839.9105263,844.6789474,849.1368421,853.3578947,857.4578947,861.5368421
Chile,CHL,10.5893277,10.83230581,11.07895154,11.32918825,11.58265414,11.83933711,12.09821501,12.35668673,12.61143434,12.86006251,13.10176159,13.33709645,13.5668364,13.79237746,14.01498523,14.23507932,14.4530807,14.6703854,14.88866384,15.10942367,15.33288278,15.55970019,15.79226852,16.03348208,16.28521167,16.54831668,16.82172119,17.10283888,17.38794161,17.67402344,17.96029492,18.24661481,18.53138264,18.81290785,19.08994636,19.36166836,19.62803215,19.88967388,20.14773271,20.40313934,20.65602825,20.90636852,21.1547963,21.40206339,21.64879386,21.89512758,22.14121383,22.38765783,22.63514818,22.884083,23.134586,23.38626582,23.63830071,23.88955284,24.13902966
China,CHN,70.33579208,70.91523979,72.67967939,74.38606769,76.17873406,78.3319575,80.37174127,82.4978031,84.78949751,87.16374191,89.59124437,91.82009427,93.94083029,95.90179213,97.61084334,99.13295875,100.4931697,101.8469896,103.2146566,104.5173488,105.8647778,107.435358,108.9990147,110.4385801,111.9527068,113.6303358,115.4672063,117.3413575,119.154262,120.9155061,122.576625,124.0880888,125.522861,126.9496445,128.3366211,129.6889829,131.0231002,132.2863841,133.4367607,134.492481,135.4730488,136.3837796,137.2359193,138.0534367,138.8677661,139.6453429,140.3765881,141.0977052,141.8012441,142.4877434,143.1721123,143.8713936,144.5834568,145.317356,146.0576461
Cote d'Ivoire,CIV,11.32727987,11.76258805,12.23226101,12.73482704,13.2696195,13.8366478,14.43785535,15.07672642,15.75774214,16.48400629,17.25658491,18.07431761,18.93523585,19.83627673,20.77482704,21.74937736,22.75927987,23.80364151,24.88172956,25.99229245,27.13560063,28.30943396,29.50719811,30.72045597,31.9435,33.17027673,34.40247484,35.65132704,36.93301258,38.25757547,39.62568239,41.02800943,42.45187421,43.87980818,45.29666667,46.70500943,48.10185535,49.46063522,50.74787421,51.9432327,53.03577358,54.0422044,55.00483962,55.98275472,57.02107547,58.13330818,59.31500629,60.57121698,61.90222956,63.30725472,64.79299371,66.36050629,67.99525157,69.67643711,71.38854088
